Elizabeth Cheshire;Melvin and Howard
Isa Crino;Lilies of the Field
Yvan Attal;Rush Hour 3
Georgie Henley;The Chronicles of Narnia: Prince Caspian
Donald Crisp;How Green Was My Valley
Anne Baxter;All About Eve
Burt Lancaster;Judgment at Nuremberg
Joe Mantell;Marty
Matthew Broderick;Lion King, The
Greer Garson;Mrs. Miniver
Robert Morley;Around the World in Eighty Days
Mary Astor;Two Arabian Knights
Hugh Griffith;Tom Jones
Ian McShane;Kung Fu Panda
Kevin Bacon;Apollo 13
Katharine Hepburn;On Golden Pond
Edward Herrmann;Reds
Tom Cruise;The Color of Money
Jay Baruchel;How to Train Your Dragon
Talia Shire;Rocky
George Clooney;Oceans Eleven
Sigourney Weaver;Avatar
Josh Duhamel;Transformers: Dark of the Moon
Christopher Jones;Ryans Daughter
Dougray Scott;Mission: Impossible II
Caroline Kava;Born on the Fourth of July
Robin Williams;Patch Adams
Chris Haywood;Shine
Joseph Gordon-Levitt;The Dark Knight Rises
Louis Prima;Jungle Book, The
Clint Eastwood;Gran Torino
Saunders Triplets;Harry Potter and the Sorcerers Stone
Jean-Paul Rouve;Mome, La
Alfred Molina;Spider-Man 2
Paul L. Nolan;Oceans Eleven
Rod Steiger;On the Waterfront
Wendy Hiller;Separate Tables
Philip Seymour Hoffman;Patch Adams
Parker Posey;Superman Returns
Fred Gwynne;My Cousin Vinny
Ann Rutherford;Gone with the Wind
John Travolta;Saturday Night Fever
Paul Sorvino;Touch of Class, A
Dorothy Lamour;Greatest Show on Earth, The
Diane Keaton;Reds
